pathway,n_genes,corr,abs_corr,sign
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN,4,,,0
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,12,0.9135605692863464,0.9135605692863464,1
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,8,,,0
REACTOME_COLLAGEN_DEGRADATION,13,0.7755635976791382,0.7755635976791382,1
REACTOME_COLLAGEN_FORMATION,16,0.8353393077850342,0.8353393077850342,1
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,5,,,0
REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION,3,,,0
REACTOME_COMPLEMENT_CASCADE,13,0.8607363104820251,0.8607363104820251,1
REACTOME_COMPLEX_I_BIOGENESIS,9,,,0
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,3,,,0
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,4,,,0
REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE,1,,,0
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,20,0.9140720963478088,0.9140720963478088,1
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,5,,,0
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII,4,,,0
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS,6,,,0
REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2,2,,,0
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,6,,,0
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,11,0.884641706943512,0.884641706943512,1
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,8,,,0
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,10,0.7665696740150452,0.7665696740150452,1
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,21,0.8882415890693665,0.8882415890693665,1
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,6,,,0
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,15,0.8800562620162964,0.8800562620162964,1
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,25,0.9242051839828491,0.9242051839828491,1
REACTOME_CREATINE_METABOLISM,1,,,0
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,4,,,0
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING,6,,,0
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE,4,,,0
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE,0,,,0
REACTOME_CREB3_FACTORS_ACTIVATE_GENES,2,,,0
REACTOME_CREB_PHOSPHORYLATION,3,,,0
REACTOME_CRISTAE_FORMATION,3,,,0
REACTOME_CRMPS_IN_SEMA3A_SIGNALING,2,,,0
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,3,,,0
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,1,,,0
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,3,,,0
REACTOME_CS_DS_DEGRADATION,1,,,0
REACTOME_CTLA4_INHIBITORY_SIGNALING,5,,,0
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,3,,,0
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,16,0.8915013074874878,0.8915013074874878,1
REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,17,0.85547935962677,0.85547935962677,1
REACTOME_CYP2E1_REACTIONS,0,,,0
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE,1,,,0
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,4,,,0
